       CamB  7.73  0.10 65.00  5.00   0.0   0.0  12.6   1.6   0.0   0.0  20.1   1.7   0.0   0.0   0.0   0.0   0.0   0.0
     D512-2  8.43  0.27 56.00 10.00   0.0   0.0  36.6   6.0   0.0   0.0  37.2   6.1 113.4  20.8 107.4  20.4   0.0   0.0
     D564-8  7.74  0.06 63.00  7.00   0.0   0.0  18.1   2.1  19.0   2.2  25.0   2.6  79.7  16.8  79.7  16.8   0.0   0.0
     D631-7  8.68  0.05 59.00  3.00  57.7   4.1  28.1   2.5  36.5   2.2  58.5   4.4 126.0  16.5 122.5  16.5   0.0   0.0
     DDO064  8.56  0.26 60.00  5.00  46.1   6.4  41.2   5.1  46.4   7.1  46.9   9.0 128.2   8.2  95.8   9.3  95.8   9.3
     DDO154  8.59  0.06 64.00  3.00  47.0   1.7  18.9   0.9  26.2   1.0  48.2   1.4 114.6   5.0  97.4   8.4  95.1   8.4
     DDO161  9.32  0.26 70.00 10.00  66.3   4.6  36.2   3.7  43.8   4.3  67.5   5.4 139.4  10.2 125.6  15.3 118.1  15.0
     DDO168  8.81  0.06 63.00  6.00  53.7   3.7  47.6   2.8  52.3   3.0  55.0   3.9  97.6   6.6   0.0   0.0   0.0   0.0
     DDO170  9.10  0.26 66.00  7.00  60.0   3.7  48.7   2.8  55.0   3.2  62.2   3.5 150.0  10.1 153.2   8.9   0.0   0.0
ESO079-G014 10.48  0.24 79.00  5.00 175.0   4.8 167.9   3.7 176.3   3.7 178.0   3.6 400.4   9.8 381.0  18.2 376.9  18.2
ESO116-G012  9.55  0.27 74.00  3.00 109.1   4.0  85.5   3.3 106.3   4.5 112.0   5.0 241.3   9.7 226.8  13.4 219.5  13.4
ESO444-G084  8.33  0.10 32.00  6.00   0.0   0.0  41.1   7.5  49.8   9.5  63.1  10.7 141.5  25.7   0.0   0.0   0.0   0.0
ESO563-G021 11.27  0.16 83.00  3.00 314.6  12.3 309.3   5.1 318.5  11.0 321.0   8.1 692.2   8.3 690.1   9.1 677.0   9.1
    F565-V2  9.08  0.18 60.00 10.00   0.0   0.0  66.3   9.7  76.9   9.2  83.1  10.3 149.0  21.9 142.0  21.5   0.0   0.0
     F568-3  9.93  0.11 40.00 10.00   0.0   0.0  99.1  21.5 111.8  25.6 120.0  27.7 275.4  59.5 266.0  57.6   0.0   0.0
    F568-V1  9.72  0.10 40.00 10.00 112.3  28.9 112.8  34.2 111.3  35.1 118.0  28.6 320.5  68.6 284.7  61.3   0.0   0.0
     F571-8  9.87  0.19 85.00  5.00 139.7   5.8 127.2   4.1  76.0   4.0 144.0   5.1 313.2  16.2 312.2  16.2   0.0   0.0
    F571-V1  9.41  0.10 30.00 10.00  83.6  26.0  68.2  21.8  79.8  24.9  84.3  26.2 168.0  53.2 166.0  52.7   0.0   0.0
     F574-1  9.90  0.10 65.00 10.00  97.8   9.3  97.7   9.1  99.5   9.2  99.7   9.6 265.9  26.9 247.2  25.7   0.0   0.0
     F583-1  9.52  0.22 63.00  5.00  85.8   7.9  69.8   4.3  78.7  13.9  86.9   6.8 205.4  18.4 198.7  18.3   0.0   0.0
     F583-4  9.23  0.19 55.00 10.00   0.0   0.0  56.7   8.5  66.7   9.5  69.9   9.8 173.3  26.5 163.6  25.6   0.0   0.0
     IC2574  9.28  0.06 75.00  7.00  66.4   6.0  47.6   1.8  50.0   1.9  67.5   9.6 135.6   8.3   0.0   0.0   0.0   0.0
     IC4202 11.03  0.13 90.00  1.00 242.6  11.2 239.4   7.0 246.0   6.3 250.0   5.6 558.0   3.0 554.0   3.0   0.0   0.0
   KK98-251  8.29  0.26 59.00  5.00  33.7   2.7  34.4   2.7  33.7   2.7  34.6   2.7   0.0   0.0   0.0   0.0   0.0   0.0
    NGC0024  9.45  0.09 64.00  3.00 106.3   8.5 106.9  11.5 106.1  11.5 110.0   4.0 248.1   8.1 240.3  16.2 235.3  16.2
    NGC0055  9.64  0.08 77.00  3.00  85.6   5.4  86.6   5.6  82.2   2.5  87.4   2.7 208.3   7.4 185.8  13.2 178.6  13.2
