ID	Name	Name_ctd	RA	Dec	N1p5	N1	z1p5	z1	zBCG	sigma2001p5	err_sigma2001p5	sigma2001	err_sigma2001	Mdyn1p5	err_Mdyn1p5	Mdyn1	err_Mdyn1	MSZ	err_MSZ	Flag	Dataset	PSZ_other	Beyond_PSZ2
1	PSZ2	G000.04+45.13	15:16:58.08	-01:06:38.8	38	15	0.118	0.118	0.1169	652	74	488	83	0.20	0.05	0.10	0.05	0.38	0.04	0	SDSS	0	0
2	PSZ2	G000.13+78.04	13:34:08.68	+20:14:53.0	18	16	0.172	0.172	0.1730	1019	158	1019	166	0.68	0.32	0.69	0.35	0.51	0.03	1	SDSS	0	0
7	PSZ2	G002.42+69.64	14:04:08.04	+15:40:09.7	11	11	0.183	0.183	0.1856	1243	249	1248	250	1.22	0.85	1.24	0.86	0.30	0.04	1	SDSS	0	0
14a	PSZ2	G004.04+42.23	15:33:03.55	-00:46:16.5	24	24	0.153	0.153	0.1518	1414	187	1423	188	1.63	0.61	1.66	0.62	0.31	0.04	0	SDSS	0	0
21	PSZ2	G006.49+50.56	15:10:54.11	+05:46:54.8	223	173	0.078	0.078	-	1058	61	1109	54	0.75	0.05	0.85	0.07	0.71	0.02	1	SDSS	0	0
25	PSZ2	G006.84+50.69	15:10:59.21	+05:58:57.9	226	166	0.078	0.078	-	1064	64	1056	52	0.76	0.05	0.75	0.06	0.17	0.07	2	SDSS	0	0
34	PSZ2	G009.04+31.09	16:18:23.49	-04:11:39.9	34	34	0.246	0.246	-	1068	130	1068	130	0.71	0.20	0.71	0.20	0.48	0.06	1	LP15	0	0
38	PSZ2	G011.36+49.42	15:21:51.85	+07:42:31.8	85	75	0.045	0.045	0.0442	631	48	626	46	0.19	0.03	0.19	0.03	0.17	0.02	1	SDSS	0	0
43	PSZ2	G012.81+49.68	15:23:05.30	+08:36:33.2	105	105	0.035	0.035	0.0341	787	54	787	54	0.35	0.04	0.35	0.04	0.18	0.02	1	SDSS	0	0
47a	PSZ2	G014.33+60.23	14:47:56.94	+14:45:32.6	12	11	0.214	0.212	0.2146	1490	285	1548	310	1.93	1.25	2.17	1.50	0.38	0.05	0	SDSS	0	0
